Date and Time,% Full
2022-09-12 14:15,76
2022-09-12 14:20,80
2022-09-12 14:25,77
2022-09-12 14:30,76
2022-09-12 14:35,77
2022-09-12 14:40,78
2022-09-12 14:45,85
2022-09-12 14:50,84
2022-09-12 18:45,108
2022-09-12 18:47,107
