Date and Time,% Full
2022-09-11 18:21,79
2022-09-11 18:26,76
2022-09-11 18:31,83
2022-09-11 18:36,88
2022-09-11 18:41,86
2022-09-11 18:46,84
2022-09-11 18:51,85
2022-09-11 18:56,86
2022-09-11 19:01,91
2022-09-11 19:06,96
2022-09-11 19:11,91
2022-09-11 19:16,94
2022-09-11 19:21,86
2022-09-11 19:26,87
